광고ID,매체ID,누적 전환 수,도메인,광고 종료일,목표 전환 수
7780,640,8,유틸리티/툴,2034-01-01 00:00:00,제한없음
7780,674,37,유틸리티/툴,2034-01-01 00:00:00,제한없음
7780,675,160,유틸리티/툴,2034-01-01 00:00:00,제한없음
7780,682,24,유틸리티/툴,2034-01-01 00:00:00,제한없음
7780,683,25,유틸리티/툴,2034-01-01 00:00:00,제한없음
7780,687,59,유틸리티/툴,2034-01-01 00:00:00,제한없음
7780,688,26,유틸리티/툴,2034-01-01 00:00:00,제한없음
7780,700,48,유틸리티/툴,2034-01-01 00:00:00,제한없음
7780,701,60,유틸리티/툴,2034-01-01 00:00:00,제한없음
7780,702,11,유틸리티/툴,2034-01-01 00:00:00,제한없음
7780,703,9,유틸리티/툴,2034-01-01 00:00:00,제한없음
7780,761,160,유틸리티/툴,2034-01-01 00:00:00,제한없음
7780,766,2,유틸리티/툴,2034-01-01 00:00:00,제한없음
7780,768,2,유틸리티/툴,2034-01-01 00:00:00,제한없음
7780,770,1,유틸리티/툴,2034-01-01 00:00:00,제한없음
7780,771,1,유틸리티/툴,2034-01-01 00:00:00,제한없음
7780,772,2,유틸리티/툴,2034-01-01 00:00:00,제한없음
7780,778,1,유틸리티/툴,2034-01-01 00:00:00,제한없음
7780,788,1,유틸리티/툴,2034-01-01 00:00:00,제한없음
7780,790,3,유틸리티/툴,2034-01-01 00:00:00,제한없음
7780,807,0,유틸리티/툴,2034-01-01 00:00:00,제한없음
7780,808,0,유틸리티/툴,2034-01-01 00:00:00,제한없음
9716,22,0,생활서비스,2029-11-29 00:00:00,제한없음
9716,30,0,생활서비스,2029-11-29 00:00:00,제한없음
9716,270,3,생활서비스,2029-11-29 00:00:00,제한없음
9716,583,2,생활서비스,2029-11-29 00:00:00,제한없음
9716,761,0,생활서비스,2029-11-29 00:00:00,제한없음
9716,790,0,생활서비스,2029-11-29 00:00:00,제한없음
9717,22,0,SNS/커뮤니케이션,2028-04-01 00:00:00,제한없음
9717,213,0,SNS/커뮤니케이션,2028-04-01 00:00:00,제한없음
9717,496,3,SNS/커뮤니케이션,2028-04-01 00:00:00,제한없음
9717,761,2,SNS/커뮤니케이션,2028-04-01 00:00:00,제한없음
9982,30,3,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,54,23,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,213,3,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,246,18,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,270,295,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,281,46,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,314,69,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,337,8,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,371,146,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,381,63,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,389,1,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,401,74,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,413,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,491,1,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,578,269,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,579,134,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,621,86,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,636,29,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,637,64,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,638,55,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,639,49,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,640,19,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,646,2,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,674,58,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,675,411,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,682,132,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,683,67,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,687,134,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,688,102,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,700,87,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,701,211,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,702,42,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,703,21,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,711,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,761,161,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,766,2,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,768,3,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,770,1,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,771,1,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,778,2,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,785,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,791,1,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,792,15,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,806,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,807,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
9982,808,0,유틸리티/툴,2030-01-01 00:00:00,제한없음
10500,22,0,게임,2029-11-29 00:00:00,제한없음
10500,213,0,게임,2029-11-29 00:00:00,제한없음
10500,270,0,게임,2029-11-29 00:00:00,제한없음
10500,281,0,게임,2029-11-29 00:00:00,제한없음
10500,337,0,게임,2029-11-29 00:00:00,제한없음
10500,371,0,게임,2029-11-29 00:00:00,제한없음
10500,496,0,게임,2029-11-29 00:00:00,제한없음
10500,564,0,게임,2029-11-29 00:00:00,제한없음
10500,568,0,게임,2029-11-29 00:00:00,제한없음
10500,643,0,게임,2029-11-29 00:00:00,제한없음
10500,645,0,게임,2029-11-29 00:00:00,제한없음
10500,686,0,게임,2029-11-29 00:00:00,제한없음
10500,711,0,게임,2029-11-29 00:00:00,제한없음
10500,761,0,게임,2029-11-29 00:00:00,제한없음
10500,790,0,게임,2029-11-29 00:00:00,제한없음
10500,805,0,게임,2029-11-29 00:00:00,제한없음
11059,30,11,게임,2027-01-01 00:00:00,제한없음
11059,213,0,게임,2027-01-01 00:00:00,제한없음
11059,246,2,게임,2027-01-01 00:00:00,제한없음
11059,270,34,게임,2027-01-01 00:00:00,제한없음
11059,281,1,게임,2027-01-01 00:00:00,제한없음
11059,337,6,게임,2027-01-01 00:00:00,제한없음
11059,389,0,게임,2027-01-01 00:00:00,제한없음
11059,398,14,게임,2027-01-01 00:00:00,제한없음
11059,462,0,게임,2027-01-01 00:00:00,제한없음
11059,482,1,게임,2027-01-01 00:00:00,제한없음
11059,532,0,게임,2027-01-01 00:00:00,제한없음
11059,564,0,게임,2027-01-01 00:00:00,제한없음
11059,634,0,게임,2027-01-01 00:00:00,제한없음
11059,643,6,게임,2027-01-01 00:00:00,제한없음
11059,644,1,게임,2027-01-01 00:00:00,제한없음
11059,645,0,게임,2027-01-01 00:00:00,제한없음
11059,711,0,게임,2027-01-01 00:00:00,제한없음
11059,720,0,게임,2027-01-01 00:00:00,제한없음
11059,761,12,게임,2027-01-01 00:00:00,제한없음
11059,766,0,게임,2027-01-01 00:00:00,제한없음
11059,774,0,게임,2027-01-01 00:00:00,제한없음
11059,790,1,게임,2027-01-01 00:00:00,제한없음
11123,270,33,게임,2025-12-31 00:00:00,3500
11748,14,12664,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,22,548,유틸리티/툴,2031-01-01 00:00:00,제한없음
11748,28,3,유틸리티/툴,2031-01-01 00:00:00,제한없음
